YN,name,species,MHS10site1,MHS10site2,MHS10site3,MHS11site1,MHS11site2,MHS11site3,MHS12site1,MHS12site2,MHS12site3,MHS13site1,MHS13site2,MHS13site3,MHS14site1,MHS14site2,MHS14site3,MHS15site1,MHS15site2,MHS15site3,MHS16site1,MHS16site2,MHS16site3,MHS17site1,MHS17site2,MHS17site3,MHS17siteNC,MHS18site1,MHS18site2,MHS18site3,MHS19site1,MHS19site2,MHS19site3,MHS1site1,MHS1site2,MHS1site3,MHS1siteNC,MHS20site1,MHS20site2,MHS20site3,MHS21site1,MHS21site2,MHS21site3,MHS2site1,MHS2site2,MHS2site3,MHS3site1,MHS3site2,MHS3site3,MHS4site1,MHS4site2,MHS4site3,MHS5site1,MHS5site2,MHS5site3,MHS6site1,MHS6site2,MHS6site3,MHS7site1,MHS7site2,MHS7site3,MHS8site1,MHS8site2,MHS8site3,MHS9site1,MHS9site2,MHS9site3,MHS9siteNC,MHSPCRNC3,MHSPCRNC4,MHS33site1,MHS33site2,MHS33site3,MHS34site1,MHS34site2,MHS34site3,MHS35site1,MHS35site2,MHS35site3,MHS36site1,MHS36site2,MHS36site3,MHS36siteNC,MHS37site1,MHS37site2,MHS37site3,MHS38site1,MHS38site2,MHS38site3,MHS45site1,MHS45site2,MHS45site3,MHS49site1,MHS49site2,MHS49site3,MHS50site1,MHS50site2,MHS50site3,MHS51site1,MHS51site2,MHS51site3,MHS52site1,MHS52site2,MHS52site3,MHS52siteNC,MHS53site1,MHS53site2,MHS53site3,MHS54site1,MHS54site2,MHS54site3,MHS55site1,MHS55site2,MHS55site3,MHS56site1,MHS56site2,MHS56site3,MHSPCRNC1,MHSPCRNC2,MHS22site1,MHS22site2,MHS22site3,MHS22siteNC,MHS23site1,MHS23site2,MHS23site3,MHS24site1,MHS24site2,MHS24site3,MHS25site1,MHS25site2,MHS25site3,MHS26site1,MHS26site2,MHS26site3,MHS27site1,MHS27site2,MHS27site3,MHS28site1,MHS28site2,MHS28site3,MHS29site1,MHS29site2,MHS29site3,MHS29siteNC,MHS30site1,MHS30site2,MHS30site3,MHS31site1,MHS31site2,MHS31site3,MHS32site1,MHS32site2,MHS32site3
Y,fresh,Misgurnus_anguillicaudatus,1,0,555,1,1,0,0,291,141,374,52,0,0,0,1,983,157,39,115,120,81,0,98,691,1,592,1,0,0,0,1,0,0,0,0,0,436,79,0,0,0,1,0,0,0,0,0,1,0,1,0,0,282,0,0,0,0,59,322,0,1,91,93,94,342,2,0,0,609,1941,53,1,1,0,2,2,371,1,0,89,0,70,68,2,31,2,22,8,1,29,506,150,512,159,236,336,104,0,67,428,0,220,0,0,411,1,2,0,2,319,0,2,193,205,0,2,0,0,0,4,0,0,0,0,1,0,0,2,0,0,1,1,0,372,0,48,1999,0,25,982,0,2,2,2973,34,1,1438,474,80,252,0,126
Y,fresh,Nipponocypris_temminckii,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,fresh,Pseudorasbora_parva,1211,4189,2603,4965,7767,14575,6095,9695,4974,2044,15495,12074,1345,20727,1998,3458,14257,7615,8402,14701,13446,1422,25749,29057,5,2389,2016,19078,675,4339,9952,10,12,12,1,15,1232,3563,184,1572,886,3,6,2,2,9,6,37,762,29,10,0,1566,111,686,240,1078,2180,1187,407,2914,414,1509,12972,509,15,5,414,1603,9894,702,722,1577,2447,1632,884,16811,1261,7234,705,241,6844,3974,5118,656,681,418,851,6774,449,559,1910,1489,148,2699,773,366,297,385,134,1199,115,4,4420,361,1096,50,230,35,2,267,1,3,4,134,17,11,633,815,69,1,581,1247,61,164,149,1,797,160,1,70,0,611,191,15,7,4,3687,74,1911,2368,683,3,423,302,2594,595,1688,430,1230,293,4929
Y,fresh,Rhinogobius_sp.,12503,12374,7708,5374,1957,16744,2846,6248,10156,911,9998,5868,12144,4905,11506,2738,2739,3562,2126,6390,2621,10889,23265,6354,21,5243,20016,3157,914,9439,2824,6,1124,1171,1,12,14196,2976,1452,3810,2591,3,323,705,742,14,5,12,7,172,737,3,9375,1320,3717,2092,1575,1102,3485,448,6172,332,8854,1193,2051,13,7,7,1857,2065,1849,2627,4491,4365,11,287,3345,269,763,928,17,1346,837,4081,577,1351,173,784,218,721,512,102,109,774,3,2,475,707,129,270,1503,265,0,336,3741,3918,397,578,1042,438,2210,6,3,3090,576,7,2,5,7,232,5,15,458,2694,318,8,1576,6,3,3146,12,2082,5536,541,22,2730,2212,5984,6752,3088,63,3221,7,1691,124,7151,8469,194,4841,3428,107,2709
Y,fresh,Silurus_asotus,25,46,70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,104,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,89,0,0,0,0,0,49,1,2,0,0,0,1,19,0,0,0,2,0,0,1,0,0,0,0,0,0,48,3,0,3,0,0,0,0,4,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,6,24,0,0,23
Y,fresh,Tribolodon_hakonensis,32,1080,820,0,0,299,0,0,142,0,0,32,60,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,1,0,0,0,0,0,0,0,0,22,0,0,0,0,158,0,0,0,416,0,0,0,283,0,86,1667,738,112,66,0,419,0,1,3,1,261,423,2,0,0,175,72,661,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,43,0,0,0,0,19,275,0,510,3,0,3,105,1986,779,14,4,193,215
Y,fresh,Zacco_platypus,6172,5676,14491,4268,5682,1671,1248,817,2657,10755,7721,7324,5811,4391,2332,4892,3440,2602,10025,5860,9566,7383,1305,969,13,16467,3087,2056,19259,1733,5746,9,389,1,1,10260,1953,10787,5934,1071,751,1033,603,8,1491,5,8,7,88,4,2930,2,6373,9812,1676,679,1284,1365,4808,1419,1268,951,4716,3299,2547,12,4,2,3422,4400,1361,1883,3408,2862,2799,715,1770,10742,4581,475,373,4655,7868,1717,10929,7319,8336,1947,157,422,1038,850,2084,2174,620,3512,2316,2422,422,70,548,1119,18,6045,10467,1200,2367,1366,886,4073,4524,1403,5770,8612,1328,22,10,9429,1622,746,27,10497,5969,5258,16112,1118,431,3347,1778,4862,174,265,6583,1301,13,175,9025,1183,7932,17640,1103,1253,2,691,232,998,4463,3740,2856,23422,3284,1970
N,sea fish,Caranx_ignobilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,sea fish,Plectorhinchus_chaetodonoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,sea fish,Salmo_salar,0,0,0,1150,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
